date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,0,0,0
2020-3-3,0,0,0
2020-3-4,0,0,0
2020-3-5,0,0,0
2020-3-6,0,0,0
2020-3-7,0,0,0
2020-3-8,0,0,0
2020-3-9,0,0,0
2020-3-10,0,0,0
2020-3-11,0,0,0
2020-3-12,0,0,0
2020-3-13,0,0,0
2020-3-14,0,0,0
2020-3-15,0,0,0
2020-3-16,0,0,0
2020-3-17,0,0,0
2020-3-18,0,0,0
2020-3-19,0,0,0
2020-3-20,3,0,0
2020-3-21,3,0,0
2020-3-22,3,0,0
2020-3-23,12,0,0
2020-3-24,17,0,0
2020-3-25,19,0,0
2020-3-26,23,0,0
2020-3-27,26,0,0
2020-3-28,26,0,0
2020-3-29,39,0,0
2020-3-30,43,0,0
2020-3-31,57,0,0
2020-4-1,57,0,0
2020-4-2,59,0,0
2020-4-3,70,0,0
2020-4-4,70,0,0
2020-4-5,72,2,0
2020-4-6,82,2,0
2020-4-7,88,7,0
2020-4-8,93,11,0
2020-4-9,93,11,0
2020-4-10,93,11,0
2020-4-11,102,11,0
2020-4-12,106,20,0
2020-4-13,106,21,0
2020-4-14,108,23,0
2020-4-15,110,29,0
2020-4-16,111,33,0
2020-4-17,117,33,0
2020-4-18,120,35,0
2020-4-19,121,39,0
2020-4-20,121,41,0
2020-4-21,121,44,0
2020-4-22,121,52,0
2020-4-23,121,58,0
2020-4-24,122,61,0
2020-4-25,123,62,0
2020-4-26,124,71,0
2020-4-27,128,75,0
2020-4-28,128,82,0
2020-4-29,128,90,0
2020-4-30,128,92,0
2020-5-1,132,94,0
2020-5-2,135,97,0
