States,India,Maharashtra,Gujarat,Delhi,Rajasthan,Madhya Pradesh,Tamil Nadu,Uttar Pradesh,Andhra Pradesh,Telangana,West Bengal,Karnataka,Jammu and Kashmir,Kerala,Punjab,Haryana,Bihar,Odisha,Jharkhand,Uttarakhand,Himachal Pradesh,Chhattisgarh,Assam,Andaman and Nicobar,Chandigarh,Ladakh,Meghalaya,Puducherry,Goa,Manipur,Tripura,Arunachal Pradesh,Mizoram
30th April,34866,10498,4395,3515,2584,2625,2323,2211,1403,1038,758,565,614,498,480,339,425,143,110,57,40,40,43,33,74,22,12,8,7,2,2,1,1
1st May,37262,11506,4721,3738,2666,2715,2526,2328,1463,1044,795,589,624,498,585,357,466,154,113,57,40,43,43,33,88,22,12,8,7,2,2,1,1
2nd May,39829,12296,5054,4122,2772,2788,2757,2487,1525,1061,922,601,651,500,772,376,481,160,115,59,40,43,43,33,94,23,12,9,7,2,4,1,1
3rd May,42546,12974,5428,4549,2886,2837,3023,2645,1583,1082,963,614,686,500,1102,442,517,162,115,60,40,57,43,33,111,42,12,9,7,2,16,1,1
4th May,46437,14541,5804,4898,3061,2942,3550,2766,1650,1085,1259,651,711,500,1232,517,528,169,115,60,41,44,43,33,116,42,12,9,7,2,29,1,1
5th May,49405,15525,6245,5104,3158,3049,4058,2880,1717,1096,1344,673,726,503,1451,548,535,177,125,61,42,45,45,33,129,42,12,9,7,2,42,1,1
6th May,52987,16758,6625,5532,3317,3138,4829,2998,1777,1107,1456,693,775,503,1526,594,542,205,127,61,43,59,46,33,124,42,12,9,7,2,64,1,1
7th May,56351,17974,7013,5980,3427,3252,5409,3071,1833,1122,1548,705,793,503,1644,625,550,219,132,61,46,59,54,33,135,42,12,9,7,2,88,1,1
8th May,59695,19263,7403,6318,3579,3341,6009,3214,1887,1132,1678,753,823,504,1731,647,579,270,154,63,50,59,60,33,146,42,12,9,7,2,118,1,1
9th May,62939,20228,7796,6542,3708,3614,6535,3373,1930,1163,1786,794,836,505,1762,675,591,294,156,67,50,59,63,33,169,42,13,9,7,2,134,1,1
10th May,67152,22171,8194,6923,3814,3614,7204,3467,1980,1196,1939,848,861,512,1823,703,696,377,157,68,55,59,63,33,169,42,13,9,7,2,150,1,1
11th May,70756,23401,8541,7233,3988,3785,8002,3573,2018,1275,2063,862,879,519,1877,730,747,414,160,68,59,59,65,33,174,42,13,12,7,2,152,1,1
12th May,74281,24427,8903,7639,4126,3986,8718,3664,2090,1326,2173,925,934,524,1914,780,831,437,172,69,65,59,65,33,187,42,13,13,7,2,154,1,1
13th May,78003,25922,9267,7998,4328,4173,9227,3729,2137,1367,2290,959,971,534,1924,793,940,538,173,72,66,59,80,33,187,43,13,13,7,2,155,1,1
14th May,81970,27524,9591,8470,4534,4426,9674,3902,2205,1414,2377,987,983,560,1935,818,994,611,197,78,74,60,87,33,191,43,13,13,14,3,156,1,1
15th May,85833,29100,9932,8895,4747,4595,10108,4057,2289,1454,2461,1056,1013,577,1932,854,1033,737,211,82,76,66,87,33,191,43,13,16,15,3,155,1,1
16th May,90636,30706,10988,9333,4960,4789,10585,4258,2355,1509,2576,1092,1121,587,1946,887,1179,737,217,88,78,67,92,33,191,43,13,13,17,7,167,1,1
17th May,95459,33053,11379,9755,5202,4977,11224,4259,2407,1551,2677,1147,1183,601,1964,910,1262,828,223,92,80,86,101,33,191,43,13,13,29,7,167,1,1
18th May,100324,35058,11745,10054,5507,5236,11760,4605,2474,1597,2825,1246,1289,630,1980,928,1391,876,223,93,90,93,107,33,196,43,13,18,38,7,167,1,1
19th May,105653,37136,12140,10554,5845,5465,12448,4926,2532,1634,2961,1397,1317,642,2002,964,1498,978,231,111,92,101,142,33,200,43,13,18,46,9,173,1,1
20th May,110955,39297,12537,11088,6015,5735,13191,5175,2602,1661,3103,1462,1390,666,2005,993,1674,1052,231,122,110,115,170,33,202,44,14,18,50,25,173,1,1
21st May,116826,41642,12905,11659,6227,5981,13967,5515,2647,1699,3197,1605,1449,690,2028,1031,1982,1103,290,146,152,128,203,33,217,44,14,20,52,25,173,1,1
22nd May,123201,44582,13268,12319,6494,6170,14753,5735,2709,1761,3332,1743,1489,732,2029,1067,2177,1189,308,153,168,172,259,33,218,44,14,26,54,26,175,1,1
23rd May,129527,47190,13664,12910,6742,6371,15512,6017,2757,1813,3459,1959,1569,795,2045,1131,2380,1269,350,244,185,214,329,33,225,49,14,26,55,29,189,1,1
24th May,136200,50231,14056,13418,7028,6665,16277,6268,2823,1854,3667,2089,1621,847,2060,1184,2587,1336,370,317,203,252,378,33,238,52,14,41,66,32,191,1,1
25th May,145374,52667,14460,14053,7300,6859,17082,6532,3110,1920,3816,2182,1668,896,2060,1184,2730,1438,377,349,223,291,526,33,238,52,14,41,67,39,194,2,1
26th May,151767,54758,14821,14465,7536,7024,17728,6548,3171,1991,4009,2283,1759,963,2106,1305,2983,1517,426,401,247,361,616,33,266,53,15,46,67,39,207,2,1
27th May,158104,56948,15195,15257,7703,7268,18545,6991,3171,2098,4192,2418,1921,1004,2139,1381,3061,1593,448,469,273,369,781,33,279,53,20,46,68,44,230,2,1
28th May,165358,59546,15562,16281,8067,7453,19372,7170,3251,2256,4536,2533,2036,1088,2158,1504,3296,1660,469,500,276,399,856,33,288,73,21,51,69,55,242,3,1
29th May,173496,62228,15934,17386,8365,7645,20246,7284,3436,2425,4813,2781,2164,1150,2197,1721,3376,1723,511,716,295,415,1024,33,289,74,27,51,69,59,251,3,1
30th May,182143,65168,16343,18549,8617,7891,21184,7445,3569,2499,5130,2922,2341,1208,2233,1923,3636,1819,563,749,313,447,1185,33,289,74,27,51,70,62,268,4,1
31st May,190535,67655,16779,19844,8831,8089,22333,7823,3679,2698,5501,3221,2446,1269,2263,2091,3815,1948,610,907,331,498,1272,33,293,74,27,70,70,71,313,4,1
1st June,198706,70013,17200,20834,8980,8283,23495,8075,3783,2792,5772,3408,2601,1326,2301,2356,3926,2104,659,958,340,547,1390,33,294,77,27,74,71,83,420,22,1
2nd June,207615,72300,17617,22132,9373,8420,24586,8361,3898,2891,6168,3796,2718,1412,2342,2652,4155,2245,712,1043,345,564,1513,33,301,81,27,82,79,89,468,22,13
3rd June,216919,74860,18100,23645,9652,8588,25872,8729,4080,3020,6508,4063,2857,1494,2376,2954,4390,2388,752,1085,359,668,1750,33,301,90,33,82,79,118,468,38,14
4th June,226770,77793,18584,25004,9862,8762,27256,9237,4223,3147,6876,4320,3142,1588,2415,3281,4493,2478,793,1153,383,756,1988,33,301,90,33,82,166,124,644,42,17
5th June,236657,80229,19094,27130,10084,8996,28694,9733,4303,3290,7303,4835,3324,1699,2461,3597,4596,2608,881,1215,393,879,2153,33,304,97,33,99,196,132,692,45,22
6th June,246628,82968,19592,27654,10331,9228,30152,9733,4510,3496,7738,5213,3467,1807,2515,3952,4915,2781,1000,1303,400,923,2397,33,309,99,33,99,267,157,747,47,24
7th June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8th June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9th June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10th June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11th June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12th June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13th June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14th June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15th June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
